polygon number, surface area, depth, volume, mu, length, dip in degrees, dip in rads, w, catalogue length, big eigen, small eigen, strainrateone, strainratetwo, m0, velocity m/s, velocity mm/yr
1,20886567645.688538,40000,835462705827541.5,33000000000.0,198054.18944999436,87.3,1.5236724369910497,40044.454351409746,1446508800,1.1e+19,-1.07e+19,1.3791153785621313e-16,-1.3415031409649822e-16,1.3185e+19,3.4827211263847464e-11,(1.0796435491792713e-09, 536, 0, 0)
2,59732710043.68817,40000,2389308401747527.0,33000000000.0,327399.5328624969,45.1,0.7871434926494426,56470.069689283635,1446508800,3.74e+20,-3.84e+20,1.6395866606961296e-15,-1.683425876222764e-15,3.9424500000000016e+20,4.4671938122552935e-10,(1.384830081799141e-08, 536, 0, 0)
3,35164006056.46936,40000,1406560242258774.5,33000000000.0,264286.0399899655,45.9,0.8011061266653973,55700.5085659605,1446508800,1.69e+19,-1.44e+19,1.2585293597404887e-16,-1.0723563775303572e-16,1.8113000000000002e+19,2.5776383414608016e-11,(7.990678858528485e-10, 536, 0, 0)
4,22586891469.959167,40000,903475658798366.8,33000000000.0,236405.62254112418,49.0,0.8552113334772214,53000.51973395245,1446508800,3.64e+18,-2.6e+18,4.220072495236458e-17,-3.0143374965974695e-17,3.876e+18,6.4805343759697705e-12,(2.0089656565506289e-10, 536, 0, 0)
5,58940064213.64456,40000,2357602568545782.5,33000000000.0,345964.2280388663,45.5,0.7941248096574199,56081.28259496308,1446508800,3.3e+19,-3.54e+19,1.466149741937963e-16,-1.5727788140789058e-16,3.8748e+19,4.1837443378967045e-11,(1.2969607447479783e-09, 536, 0, 0)
6,35501085099.638565,40000,1420043403985542.5,33000000000.0,272057.4321333349,69.7,1.2164944886400477,42648.97316072096,1446508800,1.63e+20,-1.71e+20,1.20232248728748e-15,-1.2613321799150864e-15,1.80193e+20,3.253371980318564e-10,(1.008545313898755e-08, 536, 0, 0)
7,21136387442.49518,40000,845455497699807.1,33000000000.0,217083.5666199488,69.8,1.218239817892042,42621.520916994705,1446508800,6.72e+18,-4.55e+18,8.32556095650489e-17,-5.637098564300187e-17,7.887e+18,1.785751112887477e-11,(5.535828449951179e-10, 536, 0, 0)
8,52454457836.25867,40000,2098178313450346.8,33000000000.0,225440.62541581926,54.6,0.9529497715889039,49072.05987773775,1446508800,1.49e+20,-1.3500000000000002e+20,7.438388525674175e-16,-6.739479536684656e-16,2.876e+20,5.446122335520943e-10,(1.6882979240114924e-08, 536, 0, 0)
9,37755651611.80502,40000,1510226064472201.0,33000000000.0,269102.9619790422,51.5,0.8988445647770797,51111.14629941596,1446508800,3.58e+19,-2.45e+19,2.482996170199767e-16,-1.6992571555836395e-16,3.7606e+19,5.727802339549931e-11,(1.7756187252604785e-09, 536, 0, 0)
10,13154958136.095947,40000,526198325443837.9,33000000000.0,136861.53870599272,45.6,0.7958701389094143,55985.34575255926,1446508800,1.95e+17,-1.75e+17,3.8816836122795066e-18,-3.483562216148275e-18,3.33e+17,9.10444403256727e-13,(2.8223776500958537e-11, 536, 0, 0)
11,15706601326.555355,40000,628264053062214.2,33000000000.0,181893.69204955222,85.5,1.4922565104551517,40123.68793931302,1446508800,6.34e+18,-4.01e+18,1.0570171422358677e-16,-6.6855500636685e-17,7.249e+18,2.080772490383232e-11,(6.450394720188019e-10, 536, 0, 0)
12,23660311357.30013,40000,946412454292005.1,33000000000.0,206736.88519567144,45.3,0.7906341511534313,56274.66180025241,1446508800,1.56e+19,-1.41e+19,1.7265499053156474e-16,-1.560535491342989e-16,1.7572e+19,3.1641372411639534e-11,(9.808825447608256e-10, 536, 0, 0)
13,8124477164.296661,40000,324979086571866.44,33000000000.0,138239.38582042416,48.0,0.8377580409572782,53825.30918425504,1446508800,6.99e+18,-6.6e+18,2.252976939378858e-16,-2.127274363362012e-16,7.338e+18,2.0659716546616672e-11,(6.404512129451168e-10, 536, 0, 0)
14,15018961707.900393,40000,600758468316015.8,33000000000.0,247722.08266062138,33.9,0.5916666164260777,71717.34786374716,1446508800,6.25e+20,-7.5e+20,1.089720448275785e-14,-1.307664537930942e-14,6.38671e+20,7.531010157527974e-10,(2.334613148833672e-08, 536, 0, 0)

16,83584240420.6612,12000,1003010885047934.4,33000000000.0,247722.08266062138,85.6,1.494001839707146,12035.471516625339,1446508800,3.93e+19,-4.49e+19,4.1041373693237047e-16,-4.688950836708253e-16,4.2054e+19,2.9549113653128913e-10,(9.160225232469962e-09, 536, 0, 0)
17,72930830747.96701,12000,875169968975604.1,33000000000.0,303337.9691248782,26.0,0.4537856055185257,27374.064392458313,1446508800,5.95e+20,-5.76e+20,7.121304291704199e-15,-6.893901297515326e-15,5.985430000000002e+20,1.5100602542175891e-09,(4.6811867880745265e-08, 536, 0, 0)
18,39089580849.28101,12000,469074970191372.2,33000000000.0,338256.9237389054,47.5,0.8290313946973066,16276.10045891108,1446508800,2.7599999999999997e+20,-2.67e+20,6.163136788078159e-15,-5.962164936293002e-15,3.13745e+20,1.1938361813956384e-09,(3.700892162326479e-08, 536, 0, 0)
19,26790620008.072144,40000,1071624800322885.8,33000000000.0,172611.7777321212,89.3,1.5585790220309363,40002.98543638605,1446508800,1.76e+18,-1.51e+18,1.720302800718653e-17,-1.4759416074347537e-17,3.336e+18,1.0121111109067972e-11,(3.137544443811071e-10, 536, 0, 0)
